id,date,days_from_target,x_s,UTM_E,UTM_N
usa_NC_0049_0230,30-Dec-2023 15:41:22,1.34627314814815,39.9427037251843,422351.104072634,4045349.47126841
usa_NC_0049_0229,30-Dec-2023 15:41:22,1.34627314814815,35.1877828691629,422373.967101559,4045210.79029996
usa_NC_0049_0228,30-Dec-2023 15:41:22,1.34627314814815,31.4340963654062,422390.875163017,4045107.01982184
usa_NC_0049_0227,30-Dec-2023 15:41:22,1.34627314814815,28.0385110400397,422406.262623425,4045012.68650039
usa_NC_0049_0226,30-Dec-2023 15:41:22,1.34627314814815,25.43347736858,422417.78269402,4044941.74147175
usa_NC_0049_0225,30-Dec-2023 15:41:22,1.34627314814815,23.4413542193382,422425.620278102,4044892.35285322
usa_NC_0049_0224,30-Dec-2023 15:41:22,1.34627314814815,21.1475045871253,422433.158662296,4044842.92173946
usa_NC_0049_0223,30-Dec-2023 15:41:22,1.34627314814815,19.4255436032253,422441.264144672,4044793.57117859
usa_NC_0049_0222,30-Dec-2023 15:41:22,1.34627314814815,16.5579041111505,422448.233542661,4044744.05925785
usa_NC_0049_0221,30-Dec-2023 15:41:22,1.34627314814815,13.0733279673591,422454.591169414,4044694.46045103
usa_NC_0049_0220,30-Dec-2023 15:41:22,1.34627314814815,10.7938312439409,422462.143784693,4044645.03136693
usa_NC_0049_0219,30-Dec-2023 15:41:22,1.34627314814815,9.51500849535483,422470.688696658,4044595.74320724
usa_NC_0049_0218,30-Dec-2023 15:41:22,1.34627314814815,8.13033163307645,422479.131240741,4044546.4271285
usa_NC_0049_0217,30-Dec-2023 15:41:22,1.34627314814815,7.10558662691781,422487.937692357,4044497.12676373
usa_NC_0049_0216,30-Dec-2023 15:41:22,1.34627314814815,6.39051573755214,422497.051050741,4044447.8708853
usa_NC_0049_0215,30-Dec-2023 15:41:22,1.34627314814815,3.79631280279989,422504.301090678,4044398.34995844
usa_NC_0049_0214,30-Dec-2023 15:41:22,1.34627314814815,0.104989506507252,422510.463369858,4044348.6736494
usa_NC_0049_0213,30-Dec-2023 15:41:22,1.34627314814815,-3.76766342127044,422516.445949265,4044298.97124416
usa_NC_0049_0212,30-Dec-2023 15:41:22,1.34627314814815,-6.868344980036,422523.193925617,4044249.37811451
usa_NC_0049_0211,30-Dec-2023 15:41:22,1.34627314814815,-8.44821737838157,422531.449548983,4044200.00131389
usa_NC_0049_0210,30-Dec-2023 15:41:22,1.34627314814815,-10.488766722369,422539.24840848,4044150.55935385
usa_NC_0049_0209,30-Dec-2023 15:41:22,1.34627314814815,-11.6497485474794,422547.919073265,4044101.24325863
usa_NC_0049_0208,30-Dec-2023 15:41:22,1.34627314814815,-12.3376370351677,422557.058538173,4044051.99545357
usa_NC_0049_0207,30-Dec-2023 15:41:22,1.34627314814815,-14.0407097308929,422565.191612441,4044002.60320532
usa_NC_0049_0206,30-Dec-2023 15:41:22,1.34627314814815,-16.1946685899179,422572.877710599,4043953.14678144
usa_NC_0049_0205,30-Dec-2023 15:41:22,1.34627314814815,-17.5525952067093,422581.352690223,4043903.80489789
usa_NC_0049_0204,30-Dec-2023 15:41:22,1.34627314814815,-18.8146747176896,422589.9225409,4043854.47738147
usa_NC_0049_0203,30-Dec-2023 15:41:22,1.34627314814815,-20.9818312102546,422597.595330443,4043805.02020727
usa_NC_0049_0202,30-Dec-2023 15:41:22,1.34627314814815,-23.045243428821,422605.370876619,4043755.57823951
usa_NC_0049_0201,30-Dec-2023 15:41:22,1.34627314814815,-24.8099632445852,422613.442339804,4043706.17971188
usa_NC_0049_0200,30-Dec-2023 15:41:22,1.34627314814815,-27.2311480004124,422620.863244883,4043656.68667712
usa_NC_0049_0199,30-Dec-2023 15:41:22,1.34627314814815,-31.0428734699718,422626.90630825,4043606.99251915
usa_NC_0049_0198,30-Dec-2023 15:41:22,1.34627314814815,-34.57261119573,422633.228852097,4043557.33880681
usa_NC_0049_0197,30-Dec-2023 15:41:22,1.34627314814815,-36.8162473202337,422640.825667344,4043507.87153725
usa_NC_0049_0196,30-Dec-2023 15:41:22,1.34627314814815,-38.1949658737325,422649.279325096,4043458.53024865
usa_NC_0049_0195,30-Dec-2023 15:41:22,1.34627314814815,-39.5635472654653,422657.742904885,4043409.19103953
usa_NC_0049_0194,30-Dec-2023 15:41:22,1.34627314814815,-40.1198596422797,422667.011029915,4043359.97084461
usa_NC_0049_0193,30-Dec-2023 15:41:22,1.34627314814815,-40.8010477721642,422676.155270427,4043310.73333464
usa_NC_0049_0192,30-Dec-2023 15:41:22,1.34627314814815,-41.9785682300065,422684.807725702,4043261.42396486
usa_NC_0049_0191,30-Dec-2023 15:41:22,1.34627314814815,-43.3122385170032,422693.305421917,4043212.09218653
usa_NC_0049_0190,30-Dec-2023 15:41:22,1.34627314814815,-45.1452027348181,422701.308503771,4043162.68759241
usa_NC_0049_0189,30-Dec-2023 15:41:22,1.34627314814815,-47.2061130843338,422709.085783605,4043113.24971658
usa_NC_0049_0188,30-Dec-2023 15:41:22,1.34627314814815,-50.5828948460162,422715.559824245,4043063.61843914
usa_NC_0049_0187,30-Dec-2023 15:41:22,1.34627314814815,-53.6599355665902,422722.330799653,4043014.0308601
usa_NC_0049_0186,30-Dec-2023 15:41:22,1.34627314814815,-56.2352305442354,422729.59872374,4042964.51692741
usa_NC_0049_0185,30-Dec-2023 15:41:22,1.34627314814815,-57.6299846213042,422738.035718262,4042915.17719362
usa_NC_0049_0184,30-Dec-2023 15:41:22,1.34627314814815,-60.4004533913289,422745.110372976,4042865.63442105
usa_NC_0049_0183,30-Dec-2023 15:41:22,1.34627314814815,-63.5856417749072,422751.774420959,4042816.03003593
usa_NC_0049_0182,30-Dec-2023 15:41:22,1.34627314814815,-66.7980526217224,422758.411585933,4042766.42125882
usa_NC_0049_0181,30-Dec-2023 15:41:22,1.34627314814815,-69.3249127670771,422765.727593794,4042716.91387484
usa_NC_0049_0180,30-Dec-2023 15:41:22,1.34627314814815,-71.3639424190458,422773.526598842,4042667.47894187
usa_NC_0049_0179,30-Dec-2023 15:41:22,1.34627314814815,-73.2716204848916,422781.455627826,4042618.06364818
usa_NC_0049_0178,30-Dec-2023 15:41:22,1.34627314814815,-75.2246936979054,422789.339684334,4042568.64174813
usa_NC_0049_0177,30-Dec-2023 15:41:22,1.34627314814815,-76.174838811809,422798.216548862,4042519.36971709
usa_NC_0049_0176,30-Dec-2023 15:41:22,1.34627314814815,-77.6671699157625,422806.556596901,4042470.01717407
usa_NC_0049_0175,30-Dec-2023 15:41:22,1.34627314814815,-79.8614972580759,422814.20170459,4042420.55986899
usa_NC_0049_0174,30-Dec-2023 15:41:22,1.34627314814815,-81.3886077229175,422822.507224977,4042371.20262544
usa_NC_0049_0173,30-Dec-2023 15:41:22,1.34627314814815,-83.3466012610273,422830.386205463,4042321.78101777
usa_NC_0049_0172,30-Dec-2023 15:41:22,1.34627314814815,-85.9894158381661,422837.58737128,4042272.25659507
usa_NC_0049_0171,30-Dec-2023 15:41:22,1.34627314814815,-88.4181373752193,422845.000451944,4042222.76425409
usa_NC_0049_0170,30-Dec-2023 15:41:22,1.34627314814815,-90.6141981903716,422852.643797151,4042173.30692269
usa_NC_0049_0169,30-Dec-2023 15:41:22,1.34627314814815,-92.7137208834954,422860.382669738,4042123.86420038
usa_NC_0049_0168,30-Dec-2023 15:41:22,1.34627314814815,-95.1143990375999,422867.821178412,4042074.38772216
usa_NC_0049_0167,30-Dec-2023 15:41:22,1.34627314814815,-98.0574186509772,422874.716639604,4042024.86112078
usa_NC_0049_0166,30-Dec-2023 15:41:22,1.34627314814815,-101.161042387538,422881.4531712,4041975.31025012
usa_NC_0049_0165,30-Dec-2023 15:41:22,1.34627314814815,-103.104562238271,422889.337718145,4041925.9346495
usa_NC_0049_0164,30-Dec-2023 15:41:22,1.34627314814815,-105.690894195073,422896.586152774,4041876.46192424
usa_NC_0049_0163,30-Dec-2023 15:41:22,1.34627314814815,-108.016700744212,422904.092394989,4041827.02857495
usa_NC_0049_0162,30-Dec-2023 15:41:22,1.34627314814815,-110.095244698872,422911.849771983,4041777.60031065
usa_NC_0049_0161,30-Dec-2023 15:41:22,1.34627314814815,-111.763712374456,422920.044505172,4041728.0760982
usa_NC_0049_0160,30-Dec-2023 15:41:22,1.34627314814815,-113.52067880022,422928.151474148,4041678.53945427
usa_NC_0049_0159,30-Dec-2023 15:41:22,1.34627314814815,-114.888713366206,422936.642912289,4041629.06362216
usa_NC_0049_0158,30-Dec-2023 15:41:22,1.34627314814815,-116.258403837776,422945.13238314,4041579.58918452
usa_NC_0049_0157,30-Dec-2023 15:41:22,1.34627314814815,-119.445099587729,422951.825130297,4041529.83348546
usa_NC_0049_0156,30-Dec-2023 15:41:22,1.34627314814815,-123.65467760588,422957.50709999,4041479.91601094
usa_NC_0049_0155,30-Dec-2023 15:41:22,1.34627314814815,-128.018316067969,422963.037497145,4041429.97084409
usa_NC_0049_0154,30-Dec-2023 15:41:22,1.34627314814815,-131.078180112841,422969.856922869,4041380.22845944
usa_NC_0049_0153,30-Dec-2023 15:41:22,1.34627314814815,-133.092348018324,422977.709709566,4041330.65126016
usa_NC_0049_0152,30-Dec-2023 15:41:22,1.34627314814815,-135.576392510585,422985.098272155,4041280.99928668
usa_NC_0049_0151,30-Dec-2023 15:41:22,1.34627314814815,-138.293868982029,422992.256369505,4041231.30937202
usa_NC_0049_0150,30-Dec-2023 15:41:22,1.34627314814815,-140.803642927655,422999.619705031,4041181.65233886
usa_NC_0049_0149,30-Dec-2023 15:41:22,1.34627314814815,-142.242660780659,423008.040204879,4041132.16925888
usa_NC_0049_0148,30-Dec-2023 15:41:22,1.34627314814815,-142.539135082546,423017.588148838,4041082.87477929
usa_NC_0049_0147,30-Dec-2023 15:41:22,1.34627314814815,-143.348494000589,423026.629230305,4041033.49942068
usa_NC_0049_0146,30-Dec-2023 15:41:22,1.34627314814815,-143.429920971337,423036.388031072,4040984.24718767
usa_NC_0049_0145,30-Dec-2023 15:41:22,1.34627314814815,-144.469213843838,423045.201092846,4040934.83950094
usa_NC_0049_0144,30-Dec-2023 15:41:22,1.34627314814815,-146.530697156359,423053.005481543,4040885.26303823
usa_NC_0049_0143,30-Dec-2023 15:41:22,1.34627314814815,-147.912435336359,423061.480127536,4040835.80130654
usa_NC_0049_0142,30-Dec-2023 15:41:22,1.34627314814815,-148.669991883247,423070.569881633,4040786.44673537
usa_NC_0049_0141,30-Dec-2023 15:41:22,1.34627314814815,-150.845710047775,423078.261060706,4040736.85384024
usa_NC_0049_0140,30-Dec-2023 15:41:22,1.34627314814815,-153.24004868979,423085.73671919,4040687.22380298
usa_NC_0049_0139,30-Dec-2023 15:41:22,1.34627314814815,-155.202823209327,423093.637703285,4040637.6676822
usa_NC_0049_0138,30-Dec-2023 15:41:22,1.34627314814815,-157.225857084958,423101.479193697,4040588.10176797
usa_NC_0049_0137,30-Dec-2023 15:41:22,1.34627314814815,-159.712973587046,423108.863437936,4040538.45572772
usa_NC_0049_0136,30-Dec-2023 15:41:22,1.34627314814815,-162.261753169015,423116.187552078,4040488.79591524
usa_NC_0049_0135,30-Dec-2023 15:41:22,1.34627314814815,-164.72203697668,423123.599713073,4040439.14710462
usa_NC_0049_0134,30-Dec-2023 15:41:22,1.34627314814815,-166.198456631822,423131.981413646,4040389.66731778
usa_NC_0049_0133,30-Dec-2023 15:41:22,1.34627314814815,-168.495334997979,423139.555992884,4040340.03961394
usa_NC_0049_0132,30-Dec-2023 15:41:22,1.34627314814815,-170.089098333136,423147.823388214,4040290.53301227
usa_NC_0049_0131,30-Dec-2023 15:41:22,1.34627314814815,-171.353446220529,423156.415501291,4040241.08251026
usa_NC_0049_0130,30-Dec-2023 15:41:22,1.34627314814815,-172.418282541133,423165.204341472,4040191.66568134
usa_NC_0049_0129,30-Dec-2023 15:41:22,1.34627314814815,-173.693403011472,423173.786707975,4040142.20897901
usa_NC_0049_0128,30-Dec-2023 15:41:22,1.34627314814815,-174.678470015898,423182.654787922,4040092.80269212
