id,date,x_s,UTM_E,UTM_N
usa_NC_0049_0230,14-Mar-1962,42.7317204441025,422353.887569613,4045349.77482165
usa_NC_0049_0229,14-Mar-1962,30.3187543453651,422369.084681717,4045210.37559949
usa_NC_0049_0228,14-Mar-1962,21.1869366943826,422380.622481618,4045106.03365547
usa_NC_0049_0227,14-Mar-1962,15.1766600744167,422393.455859315,4045011.13834244
usa_NC_0049_0226,14-Mar-1962,19.7424595914461,422412.139325549,4044940.93997795
usa_NC_0049_0225,14-Mar-1962,15.953172935948,422418.194793266,4044891.29825617
usa_NC_0049_0224,01-Jan-1925,-26.8766980735888,422385.536552955,4044836.15825649
usa_NC_0049_0223,14-Mar-1962,15.2321620769877,422437.105873183,4044792.98060411
usa_NC_0049_0222,14-Mar-1962,2.57996571627804,422434.372637632,4044742.0906767
usa_NC_0049_0221,14-Mar-1962,3.08908626877928,422444.690522935,4044693.05432185
usa_NC_0049_0220,14-Mar-1962,-2.68489508389371,422448.777912033,4044643.13309191
usa_NC_0049_0219,14-Mar-1962,-6.95899034017921,422454.352630049,4044593.4230935
usa_NC_0049_0218,14-Mar-1962,-3.05205420385121,422468.042604781,4044544.85164364
usa_NC_0049_0217,14-Mar-1962,-1.88036413791045,422479.027445472,4044495.85889132
usa_NC_0049_0216,01-Jan-1925,-45.528915076588,422445.57115211,4044440.53467122
usa_NC_0049_0215,14-Mar-1962,-13.3772365022685,422487.273630345,4044395.91981552
usa_NC_0049_0214,14-Mar-1962,-20.6632635280819,422489.872635539,4044345.73057954
usa_NC_0049_0213,14-Mar-1962,-24.4363069391193,422495.954819823,4044296.03805235
usa_NC_0049_0212,14-Mar-1962,-22.744441581245,422507.45483241,4044247.12180225
usa_NC_0049_0211,14-Mar-1962,-23.1262856369707,422516.898746983,4044197.91225641
usa_NC_0049_0210,14-Mar-1962,-27.4635965858875,422522.421454271,4044148.13992994
usa_NC_0049_0209,14-Mar-1962,-28.4250646728443,422531.290582011,4044098.84883205
usa_NC_0049_0208,14-Mar-1962,-29.612413520132,422539.935665586,4044049.52619571
usa_NC_0049_0207,14-Mar-1962,-35.1101827419443,422544.308274649,4043999.58721417
usa_NC_0049_0206,14-Mar-1962,-38.7622243026217,422550.510449296,4043949.91172011
usa_NC_0049_0205,14-Mar-1962,-34.6282372025195,422564.429299554,4043901.35360267
usa_NC_0049_0204,14-Mar-1962,-34.4924851817844,422574.385160382,4043852.22353883
usa_NC_0049_0203,14-Mar-1962,-32.365845126776,422586.313752254,4043803.38130717
usa_NC_0049_0202,14-Mar-1962,-32.1325828036146,422596.365679133,4043754.26811805
usa_NC_0049_0201,14-Mar-1962,-30.901543370142,422607.406071936,4043705.30024032
usa_NC_0049_0200,01-Jan-1925,-105.124336771334,422543.680527432,4043645.42487767
usa_NC_0049_0199,14-Mar-1962,-47.2208658097463,422610.87653918,4043604.65019049
usa_NC_0049_0198,14-Mar-1962,-55.4444451687141,422612.549101418,4043554.31260262
usa_NC_0049_0197,14-Mar-1962,-62.9812215574096,422614.902560631,4043504.07251917
usa_NC_0049_0196,14-Mar-1962,-66.8569065506439,422620.883507512,4043454.36281013
usa_NC_0049_0195,14-Mar-1962,-69.4242168427876,422628.160711416,4043404.84318609
usa_NC_0049_0194,14-Mar-1962,-73.0768034696866,422634.362787251,4043355.16540488
usa_NC_0049_0193,14-Mar-1962,-74.4574362436441,422642.815512832,4043305.81901235
usa_NC_0049_0192,14-Mar-1962,-78.231976001275,422648.896865336,4043256.12301138
usa_NC_0049_0191,14-Mar-1962,-79.7657741593488,422657.197817437,4043206.75449988
usa_NC_0049_0190,14-Mar-1962,-80.0011413529847,422666.784762952,4043157.57669035
usa_NC_0049_0189,14-Mar-1962,-82.1622912232718,422674.464190178,4043108.11695236
usa_NC_0049_0188,14-Mar-1962,-82.9426654298088,422683.511111607,4043058.86028632
usa_NC_0049_0187,14-Mar-1962,-94.6094528528338,422681.776585971,4043008.00128693
usa_NC_0049_0186,14-Mar-1962,-103.37760093209,422682.913369593,4042957.56583338
usa_NC_0049_0185,14-Mar-1962,-106.271023956773,422689.868215318,4042907.99515629
