id,date_init,x_init,UTM_E_init,UTM_N_init,date_now,x_now,UTM_E_now,UTM_N_now,dx
usa_NC_0032_0001,01-Aug-1921,238.169029714969,452061.699400685,3897678.1589479,08-Dec-2019,105.94575551842,451921.680383451,3897704.09029597,-132.223274196549
usa_NC_0032_0002,01-Aug-1921,235.480644739564,452046.889531957,3897738.55340818,08-Dec-2019,134.033893155312,451939.229473724,3897759.6105177,-101.446751584252
usa_NC_0032_0003,01-Aug-1921,222.872070708578,452021.353440734,3897802.00011057,08-Dec-2019,158.14623005009,451952.506559652,3897816.2197085,-64.725840658488
usa_NC_0032_0004,01-Aug-1921,226.25378892403,452012.785763862,3897862.1339184,08-Dec-2019,181.791367702604,451965.388991377,3897872.41963461,-44.462421221426
usa_NC_0032_0005,01-Aug-1921,230.301613367181,452004.928481826,3897922.11199046,08-Dec-2019,189.312760980833,451961.142814078,3897932.05308195,-40.988852386348
usa_NC_0032_0006,01-Aug-1921,239.229751723327,452002.296784854,3897980.84502881,08-Dec-2019,206.5009974024,451967.264372162,3897989.13538833,-32.728754320927
usa_NC_0032_0007,01-Jan-1917,390.41023776737,452152.246844815,3898001.9595294,08-Dec-2019,224.437506298236,451974.247840876,3898045.72303699,-165.972731469134
usa_NC_0032_0008,01-Jan-1917,374.121859748047,452122.847837561,3898065.95853276,08-Dec-2019,239.377098641489,451978.070416118,3898102.83478854,-134.744761106558
usa_NC_0032_0009,01-Jan-1917,345.457459556863,452080.039789489,3898133.90273005,08-Dec-2019,252.019980065383,451979.465295581,3898160.37481299,-93.43747949148
usa_NC_0032_0010,01-Jan-1917,339.496051849557,452061.648936663,3898195.51452873,08-Dec-2019,261.967375953602,451978.062321264,3898218.16044947,-77.528675895955
usa_NC_0032_0011,01-Jan-1917,316.888096694023,452026.081291006,3898258.13295311,08-Dec-2019,268.412958359633,451973.795147223,3898272.40877772,-48.47513833439
usa_NC_0032_0012,01-Jan-1917,291.052095761792,451987.007045059,3898321.82600279,08-Dec-2019,278.542610995304,451973.508339541,3898325.53881161,-12.509484766488
usa_NC_0032_0013,01-Jan-1852,701.195561797813,452418.556205528,3898255.28130886,08-Dec-2019,303.307386189052,451989.028345565,3898374.25318586,-397.888175608761
usa_NC_0032_0014,01-Jan-1852,703.570988561205,452410.013239449,3898310.15603905,08-Dec-2019,322.262834271824,451998.222183919,3898424.97927967,-381.308154289381
usa_NC_0032_0015,01-Jan-1852,689.929318968771,452384.137987015,3898370.02782567,08-Dec-2019,343.965364184809,452010.375676931,3898474.91336119,-345.963954783962
usa_NC_0032_0016,01-Jan-1852,751.907945698866,452439.732734947,3898408.10697476,08-Dec-2019,358.056571441499,452013.819515592,3898529.59088142,-393.851374257367
usa_NC_0032_0017,01-Jan-1852,758.707532385914,452435.681241497,3898463.08254974,08-Dec-2019,372.467797016921,452017.589922941,3898584.26728206,-386.239735368993
usa_NC_0032_0018,01-Jan-1852,758.030676510927,452423.495046763,3898520.61261813,08-Dec-2019,387.701469226533,452022.232186603,3898638.77778667,-370.329207284394
