id,date,x_s,UTM_E,UTM_N
usa_NC_0049_0230,31-Jan-2016,23.7066421112045,422334.900143792,4045347.70415492
usa_NC_0049_0229,31-Jan-2016,15.5129329157767,422354.238139748,4045209.11457151
usa_NC_0049_0228,31-Jan-2016,22.9777024620858,422382.414212348,4045106.20599522
usa_NC_0049_0227,31-Jan-2016,18.0680839349013,422396.334899309,4045011.48637795
usa_NC_0049_0226,31-Jan-2016,22.3383624371271,422414.713493624,4044941.30557161
usa_NC_0049_0225,31-Jan-2016,24.9389904760277,422427.105375069,4044892.56377263
usa_NC_0049_0224,31-Jan-2016,25.8400981942633,422437.811966119,4044843.58262034
usa_NC_0049_0223,31-Jan-2016,19.8249132724484,422441.660170528,4044793.62742378
usa_NC_0049_0222,31-Jan-2016,20.7512856295689,422452.39181417,4044744.6498322
usa_NC_0049_0221,31-Jan-2016,23.4569393339899,422464.887841753,4044695.92282538
usa_NC_0049_0220,31-Jan-2016,24.6719272406911,422475.905683211,4044646.98588712
usa_NC_0049_0219,31-Jan-2016,18.20129879042,422479.302259052,4044596.96653993
usa_NC_0049_0218,31-Jan-2016,18.6138183551712,422489.526836954,4044547.90414556
usa_NC_0049_0217,31-Jan-2016,11.5985620093319,422492.392815799,4044497.76069993
usa_NC_0049_0216,31-Jan-2016,4.39361455236352,422495.07105464,4044447.58872322
usa_NC_0049_0215,31-Jan-2016,1.7993884649795,422502.32115343,4044398.06738368
usa_NC_0049_0214,31-Jan-2016,2.10193691362662,422512.443248158,4044348.95663689
usa_NC_0049_0213,31-Jan-2016,-3.46811786302217,422516.742922155,4044299.01375419
usa_NC_0049_0212,31-Jan-2016,-13.7579718070072,422516.363753093,4044248.39896014
usa_NC_0049_0211,31-Jan-2016,-17.8341929996017,422522.144954506,4044198.665454
usa_NC_0049_0210,31-Jan-2016,-20.5738127001603,422529.251218038,4044149.12193141
usa_NC_0049_0209,31-Jan-2016,-23.0329987754056,422536.6354542,4044099.61846916
usa_NC_0049_0208,31-Jan-2016,-22.2232027693714,422547.259900103,4044050.58241006
usa_NC_0049_0207,31-Jan-2016,-26.3229143771539,422553.017913159,4044000.8450683
usa_NC_0049_0206,31-Jan-2016,-30.8735654472733,422558.329093734,4043951.04256013
usa_NC_0049_0205,31-Jan-2016,-36.8251034242128,422562.252021222,4043901.03823136
usa_NC_0049_0204,31-Jan-2016,-38.7864077929359,422570.129699475,4043851.60624435
usa_NC_0049_0203,31-Jan-2016,-46.9453717216991,422571.865415274,4043801.28236493
usa_NC_0049_0202,31-Jan-2016,-51.1061485313464,422577.563618448,4043751.53269962
usa_NC_0049_0201,31-Jan-2016,-54.668692056548,422583.854731733,4043701.86885946
usa_NC_0049_0200,31-Jan-2016,-55.7919838831274,422592.562915151,4043652.55735065
usa_NC_0049_0199,31-Jan-2016,-60.8023902431157,422597.419449096,4043602.68379111
usa_NC_0049_0198,31-Jan-2016,-57.541615089427,422610.471231733,4043554.00853425
usa_NC_0049_0197,31-Jan-2016,-57.0891090383233,422620.740206799,4043504.92802324
usa_NC_0049_0196,31-Jan-2016,-62.6624762076354,422625.038993012,4043454.97267919
usa_NC_0049_0195,31-Jan-2016,-60.236318511281,422637.262924791,4043406.18098714
usa_NC_0049_0194,31-Jan-2016,-56.9978096630319,422650.291172309,4043357.50987699
usa_NC_0049_0193,31-Jan-2016,-59.9762008478909,422657.160512391,4043307.93348337
usa_NC_0049_0192,31-Jan-2016,-58.1577750039683,422668.781391324,4043259.05825009
usa_NC_0049_0191,31-Jan-2016,-61.3891972875716,422675.400007093,4043209.4452789
usa_NC_0049_0190,31-Jan-2016,-64.7204576607983,422681.919812652,4043159.81728638
usa_NC_0049_0189,31-Jan-2016,-68.0799451729516,422688.411746387,4043110.18472309
usa_NC_0049_0188,31-Jan-2016,-71.2571927189537,422695.084257837,4043060.57850817
usa_NC_0049_0187,31-Jan-2016,-74.2345710811826,422701.954780096,4043011.00136724
usa_NC_0049_0186,31-Jan-2016,-76.3106891204945,422709.717884368,4042961.55682169
usa_NC_0049_0185,31-Jan-2016,-78.1051654504519,422717.75987,4042912.15395409
usa_NC_0049_0184,31-Jan-2016,-80.8758439764229,422724.835155318,4042862.60695529
usa_NC_0049_0183,31-Jan-2016,-82.5630265998761,422732.983340992,4042813.22017586
usa_NC_0049_0182,31-Jan-2016,-85.8755122362757,422739.522194855,4042763.59267177
usa_NC_0049_0181,31-Jan-2016,-90.7997572671852,422744.46533079,4042713.72543135
usa_NC_0049_0180,31-Jan-2016,-88.0445710169425,422757.011776286,4042664.99889431
usa_NC_0049_0179,31-Jan-2016,-88.2543712475036,422766.622419511,4042615.83296867
usa_NC_0049_0178,31-Jan-2016,-99.9964222468391,422764.816215833,4042564.94857976
usa_NC_0049_0177,31-Jan-2016,-100.247604634017,422774.386023686,4042515.77582368
usa_NC_0049_0176,31-Jan-2016,-96.545998811076,422787.868515649,4042467.19483123
usa_NC_0049_0175,31-Jan-2016,-98.6406231626186,422795.613087571,4042417.74858507
usa_NC_0049_0174,31-Jan-2016,-105.362195119053,422798.777824249,4042367.60880559
usa_NC_0049_0173,31-Jan-2016,-107.719986509275,422806.262076985,4042318.12227138
usa_NC_0049_0172,31-Jan-2016,-117.954821999406,422805.950170835,4042267.45164471
usa_NC_0049_0171,31-Jan-2016,-112.49231686777,422821.174440107,4042219.14055985
usa_NC_0049_0170,31-Jan-2016,-111.691794928261,422831.784340651,4042170.12996273
usa_NC_0049_0169,31-Jan-2016,-120.983944080519,422832.406183314,4042119.59732713
usa_NC_0049_0168,31-Jan-2016,-120.387955396979,422842.810979141,4042070.56935439
usa_NC_0049_0167,31-Jan-2016,-116.637977906883,422856.329694802,4042022.05394055
usa_NC_0049_0166,31-Jan-2016,-121.939302204254,422860.891426487,4041972.17103775
usa_NC_0049_0165,31-Jan-2016,-121.685121474592,422870.950773279,4041923.12746969
usa_NC_0049_0164,31-Jan-2016,-124.87082630282,422877.60608063,4041873.5641904
usa_NC_0049_0163,31-Jan-2016,-126.397469049868,422885.903159302,4041824.25157925
usa_NC_0049_0162,31-Jan-2016,-125.778945094874,422896.32997308,4041775.2284249
usa_NC_0049_0161,31-Jan-2016,-132.542970525688,422899.48610712,4041724.91504308
usa_NC_0049_0160,31-Jan-2016,-132.102877805706,422909.770098442,4041675.69603606
usa_NC_0049_0159,31-Jan-2016,-139.46613786953,422912.335488393,4041625.2808793
usa_NC_0049_0158,31-Jan-2016,-138.338973786904,422923.298323499,4041576.17102133
usa_NC_0049_0157,31-Jan-2016,-134.832140567161,422936.612617452,4041527.43776992
usa_NC_0049_0156,31-Jan-2016,-139.941562199646,422941.407855703,4041477.36565147
usa_NC_0049_0155,31-Jan-2016,-146.104404688889,422945.163003639,4041427.12260219
usa_NC_0049_0154,31-Jan-2016,-143.069379730973,422958.008151335,4041378.32935093
usa_NC_0049_0153,31-Jan-2016,-150.580115987983,422960.432775605,4041327.86602177
usa_NC_0049_0152,31-Jan-2016,-153.26461485395,422967.626455527,4041278.1663335
usa_NC_0049_0151,31-Jan-2016,-149.486783185765,422981.202390858,4041229.50671951
usa_NC_0049_0150,31-Jan-2016,-150.997515384029,422989.55418544,4041180.00148594
usa_NC_0049_0149,31-Jan-2016,-153.436280743965,422996.989522115,4041130.34651083
usa_NC_0049_0148,31-Jan-2016,-152.433795228095,423007.821603321,4041081.25472106
usa_NC_0049_0147,31-Jan-2016,-149.145536369659,423020.908281004,4041032.54509417
usa_NC_0049_0146,31-Jan-2016,-146.828284485248,423033.034881124,4040983.68470618
usa_NC_0049_0145,31-Jan-2016,-149.466946203017,423040.27074405,4040934.0078395
usa_NC_0049_0144,31-Jan-2016,-149.029630752053,423050.540686237,4040884.84496635
usa_NC_0049_0143,31-Jan-2016,-156.20911182943,423053.298272422,4040834.40586865
usa_NC_0049_0142,31-Jan-2016,-160.065715640404,423059.333900133,4040784.51989347
usa_NC_0049_0141,31-Jan-2016,-160.942168761509,423068.307931503,4040735.13767619
usa_NC_0049_0140,31-Jan-2016,-164.83625595618,423074.30719938,4040685.24236993
usa_NC_0049_0139,31-Jan-2016,-167.599052063876,423081.421871569,4040635.53849093
usa_NC_0049_0138,31-Jan-2016,-166.623205182935,423092.220276402,4040586.47928515
usa_NC_0049_0137,31-Jan-2016,-167.211016579948,423101.477184019,4040537.15447714
usa_NC_0049_0136,31-Jan-2016,-167.160574328954,423111.362641101,4040487.9413779
usa_NC_0049_0135,31-Jan-2016,-166.521639088784,423121.827582961,4040438.83158146
usa_NC_0049_0134,31-Jan-2016,-167.698153112464,423130.504878223,4040389.40303925
usa_NC_0049_0133,31-Jan-2016,-168.595316550999,423139.457573248,4040340.02190588
usa_NC_0049_0132,31-Jan-2016,-174.188411907245,423143.788844915,4040289.80331345
usa_NC_0049_0131,31-Jan-2016,-174.55296238737,423153.267108553,4040240.51012649
usa_NC_0049_0130,31-Jan-2016,-174.817956619095,423162.843438212,4040191.23424676
usa_NC_0049_0129,31-Jan-2016,-173.79339088834,423173.68835339,4040142.19091314
usa_NC_0049_0128,31-Jan-2016,-176.378287284554,423180.983039871,4040092.49405243
usa_NC_0049_0127,31-Jan-2016,-179.097104590296,423188.14695016,4040042.76820496
usa_NC_0049_0126,31-Jan-2016,-181.82126086554,423195.306577031,4039993.0365469
usa_NC_0049_0125,31-Jan-2016,-186.253389474633,423209.325818618,4039900.26050374
usa_NC_0049_0124,31-Jan-2016,-190.486762150833,423225.503672453,4039797.696271
usa_NC_0049_0123,31-Jan-2016,-198.356345359887,423237.006868412,4039699.96906963
